Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Romney,Gingrich,Santorum,Paul,Cain,Huntsman,Perry,Undecided,Other,Pollster URL,Source URL
FOX,2011-06-05,2011-06-07,2011-06-30 2000-01-01 09:54:19 UTC,324,Likely Voters - Republican,Live Phone,18,3,2,7,,3,13,10,43,http://elections.huffingtonpost.com/pollster/polls/fox-11529,http://www.foxnews.com/interactive/politics/2011/06/29/romney-remains-top-gop-preference-as-rivals-draw-near/
CNN,2011-06-03,2011-06-07,2011-06-13 2000-01-01 17:15:12 UTC,433,Adults - Republican,Live Phone,59,26,2,20,10,3,,14,64,http://elections.huffingtonpost.com/pollster/polls/cnn-11459,http://i2.cdn.turner.com/cnn/2011/images/06/13/rel10g1a.pdf
Fairleigh Dickinson,2011-06-01,2011-06-07,2011-06-13 2000-01-01 17:22:37 UTC,509,Likely Voters - Republican,Live Phone,54,18,4,10,16,,,27,22,http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-11461,http://publicmind.fdu.edu/2011/nomination/
Ipsos/Reuters,2011-06-03,2011-06-06,2011-06-09 2000-01-01 10:47:11 UTC,621,Adults - Republican,Live Phone,18,4,,8,6,2,5,18,38,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-11445,http://www.ipsos-na.com/download/pr.aspx?id=10797
Quinnipiac,2011-05-31,2011-06-06,2011-06-08 2000-01-01 17:09:22 UTC,830,Registered Voters - Republican,Live Phone,25,8,4,8,9,1,,20,26,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-11440,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1608
ABC/Post,2011-06-02,2011-06-05,2011-06-07 2000-01-01 10:35:22 UTC,,Registered Voters - Republican,Live Phone,22,7,1,5,5,1,4,11,45,http://elections.huffingtonpost.com/pollster/polls/abc-post-11431,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_060511_ATMIDNIGHT.html
CNN,2011-05-24,2011-05-26,2011-05-27 2000-01-01 17:24:28 UTC,473,Adults - Republican,Live Phone,36,20,5,27,13,4,,4,86,http://elections.huffingtonpost.com/pollster/polls/cnn-11392,http://i2.cdn.turner.com/cnn/2011/images/05/27/rel9a.pdf
PPP (D),2011-05-23,2011-05-25,2011-06-02 2000-01-01 16:49:24 UTC,574,Likely Voters - Republican,Automated Phone,16,9,,9,12,4,,12,38,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11415,http://www.publicpolicypolling.com/pdf/PPP_Release_US_0602.pdf
Gallup,2011-05-20,2011-05-24,2011-05-26 2000-01-01 12:59:22 UTC,972,Adults - Republican,Live Phone,17,9,2,10,8,2,,22,31,http://elections.huffingtonpost.com/pollster/polls/gallup-11383,http://www.gallup.com/poll/147806/Romney-Palin-Lead-Reduced-GOP-Field-2012.aspx
Zogby (Internet),2011-05-20,2011-05-23,2011-05-24 2000-01-01 15:03:31 UTC,1169,Likely Voters - Republican,Internet,11,3,3,9,19,1,,12,43,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11374,http://www.zogby.com/news/2011/05/23/ibope-zogby-poll-cain-passes-christie-among-gop-primary-voters-no-one-gop-field-leads-obama-/
Suffolk,2011-05-10,2011-05-17,2011-05-18 2000-01-01 17:33:54 UTC,468,Likely Voters - Republican,Live Phone,17,9,2,4,3,,,18,46,http://elections.huffingtonpost.com/pollster/polls/suffolk-11348,http://suffolk.edu/46652.html
PPP (D),2011-05-05,2011-05-08,2011-05-10 2000-01-01 16:06:56 UTC,610,Likely Voters - Republican,Automated Phone,18,13,,8,,,,11,51,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11316,http://www.publicpolicypolling.com/pdf/PPP_Release_US_0510925.pdf
CNN,2011-04-29,2011-05-01,2011-05-05 2000-01-01 17:45:49 UTC,475,Adults - Republican,Live Phone,13,10,2,10,,1,,6,57,http://elections.huffingtonpost.com/pollster/polls/cnn-11299,http://politicalticker.blogs.cnn.com/2011/05/05/cnn-poll-still-no-front-runner-in-the-battle-for-the-gop-nomination/
Quinnipiac,2011-04-26,2011-05-01,2011-05-04 2000-01-01 10:44:26 UTC,613,Registered Voters - Republican,Live Phone,18,5,1,5,,1,,15,56,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-11285,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1595
Marist,2011-04-25,2011-04-29,2011-05-06 2000-01-01 16:34:20 UTC,205,Likely Voters - Republican,Live Phone,20,3,1,7,2,,,10,57,http://elections.huffingtonpost.com/pollster/polls/marist-11302,"http://maristpoll.marist.edu/wp-content/misc/nyspolls/NY110424/2012/Complete%20May%205th,%202011%20NYS%20Poll%20Release%20and%20Tables.pdf"
FOX,2011-04-25,2011-04-27,2011-05-02 2000-01-01 14:41:42 UTC,322,Registered Voters - Republican,Live Phone,19,7,3,7,,1,,,49,http://elections.huffingtonpost.com/pollster/polls/fox-11271,http://www.scribd.com/full/54158725?access_key=key-26pckzzekc16xems5954
Rasmussen,2011-04-26,2011-04-26,2011-04-28 2000-01-01 17:15:26 UTC,1000,Likely Voters - Republican,Automated Phone,17,9,,8,,,,11,56,http://elections.huffingtonpost.com/pollster/polls/rasmussen-11261,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/national_gop_primary_poll_trump_19_romney_17_huckabee_15
Gallup,2011-04-15,2011-04-20,2011-04-25 2000-01-01 16:00:22 UTC,1047,Adults - Republican,Live Phone,13,6,2,6,,1,,14,55,http://elections.huffingtonpost.com/pollster/polls/gallup-11241,http://www.gallup.com/poll/147233/Huckabee-Trump-Romney-Pace-GOP-Field-2012.aspx
ABC/Post,2011-04-14,2011-04-17,2011-04-19 2000-01-01 10:29:52 UTC,432,Adults - Republican,Live Phone,16,2,,2,,,,49,30,http://elections.huffingtonpost.com/pollster/polls/abc-post-11215,http://www.washingtonpost.com/wp-srv/politics/polls/postpoll_04172011.html
Marist/McClatchy,2011-04-10,2011-04-14,2011-04-20 2000-01-01 17:18:48 UTC,468,Adults - Republican,Live Phone,18,4,2,,,1,,11,47,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-11226,"http://maristpoll.marist.edu/wp-content/misc/usapolls/US110410/2012/Complete%20April%2020th,%202011%20USA%20Poll%20Release%20and%20Tables.pdf"
CNN,2011-04-09,2011-04-10,2011-04-12 2000-01-01 16:45:43 UTC,385,Adults - Republican,Live Phone,11,11,2,7,,,,5,63,http://elections.huffingtonpost.com/pollster/polls/cnn-11185,http://i2.cdn.turner.com/cnn/2011/images/04/12/rel6c.pdf
PPP (D),2011-04-07,2011-04-10,2011-04-15 2000-01-01 15:15:13 UTC,400,Likely Voters - Republican,Automated Phone,16,15,,8,,,,13,49,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11203,http://www.publicpolicypolling.com/pdf/PPP_Release_US_0414925.pdf
FOX,2011-04-03,2011-04-05,2011-04-08 2000-01-01 14:41:41 UTC,319,Registered Voters - Republican,Live Phone,14,7,2,3,,1,,,60,http://elections.huffingtonpost.com/pollster/polls/fox-11171,http://www.foxnews.com/projects/pdf/FoxNewsPoll_Obama.pdf
NBC/WSJ,2011-03-31,2011-04-04,2011-04-07 2000-01-01 10:14:01 UTC,238,Likely Voters - Republican,Live Phone,21,11,3,,,,,8,57,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-11159,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/_Today_Stories_Teases/11139%20April%202011%20Filled-in.pdf
Fairleigh Dickinson,2011-03-21,2011-03-28,2011-03-31 2000-01-01 14:38:26 UTC,800,Registered Voters,Live Phone,20,10,,,,,,23,48,http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-11136,http://publicmind.fdu.edu/2011/1103prez/
Gallup,2011-03-18,2011-03-22,2011-03-25 2000-01-01 14:30:38 UTC,1082,Adults - Republican,Live Phone,15,10,2,6,,2,,8,50,http://elections.huffingtonpost.com/pollster/polls/gallup-11112,http://www.gallup.com/poll/146792/Huckabee-Slight-Edge-Palin-Down-GOP-Preferences.aspx
Zogby (Internet),2011-03-18,2011-03-21,2011-03-25 2000-01-01 16:57:27 UTC,2168,Likely Voters - Republican,Internet,10,5,,3,,,,16,62,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-11113,http://www.zogby.com/news/2011/03/23/ibope-zogby-interactive-christie-top-presidential-choice-gop-primary-voters-viewed-most-likely-beat-/
CNN,2011-03-18,2011-03-20,2011-03-23 2000-01-01 15:34:04 UTC,504,Adults - Republican,Live Phone,18,14,3,8,,,,5,52,http://elections.huffingtonpost.com/pollster/polls/cnn-11101,http://i2.cdn.turner.com/cnn/2011/images/03/23/rel4h.pdf
Pew,2011-03-08,2011-03-14,2011-03-23 2000-01-01 10:57:35 UTC,382,Registered Voters - Republican,Live Phone,21,11,2,8,,,,42,1,http://elections.huffingtonpost.com/pollster/polls/pew-11097,http://people-press.org/reports/pdf/720.pdf
PPP (D),2011-03-10,2011-03-13,2011-03-15 2000-01-01 16:11:03 UTC,400,Likely Voters - Republican,Automated Phone,17,14,,9,,,,15,43,http://elections.huffingtonpost.com/pollster/polls/ppp-d-11064,http://www.publicpolicypolling.com/pdf/PPP_Release_US_0215925.pdf
NBC/WSJ,2011-02-24,2011-02-28,2011-03-03 2000-01-01 10:13:43 UTC,282,Likely Voters - Republican,Live Phone,21,13,2,6,,,,12,45,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-11019,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/___Politics_Today_Stories_Teases/2-24-28-11.pdf
Gallup,2011-02-18,2011-02-20,2011-02-23 2000-01-01 16:39:59 UTC,1326,Adults - Republican,Live Phone,16,9,2,5,,1,,14,54,http://elections.huffingtonpost.com/pollster/polls/gallup-10991,http://www.gallup.com/poll/146300/Huckabee-Palin-Romney-Tie-Lead-GOP-Preferences.aspx
Newsweek/Daily Beast,2011-02-12,2011-02-15,2011-02-22 2000-01-01 17:53:22 UTC,517,Likely Voters - Republican,Live Phone,19,7,,,,1,,31,43,http://elections.huffingtonpost.com/pollster/polls/newsweek-daily-beast-10985,http://www.thedailybeast.com/blogs-and-stories/2011-02-21/obama-hits-50-percent-approval-rating-according-to-new-newsweekdaily-beast-poll/
PPP (D),2011-02-11,2011-02-13,2011-02-15 2000-01-01 11:11:19 UTC,400,Likely Voters - Republican,Automated Phone,17,12,,8,,,,18,44,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10960,http://www.publicpolicypolling.com/pdf/PPP_Release_US_0215.pdf
CNN,2011-01-21,2011-01-23,2011-02-08 2000-01-01 10:02:26 UTC,,Adults - Republican,Live Phone,18,10,1,7,,,,6,56,http://elections.huffingtonpost.com/pollster/polls/cnn-10928,http://i2.cdn.turner.com/cnn/2011/images/02/07/rel2e.pdf
Rasmussen,2011-01-18,2011-01-18,2011-01-24 2000-01-01 17:06:41 UTC,1000,Likely Voters,Automated Phone,24,11,,4,,,,10,51,http://elections.huffingtonpost.com/pollster/polls/rasmussen-10874,http://www.rasmussenreports.com/public_content/politics/general_politics/january_2011/romney_holds_slight_edge_over_huckabee_and_palin
NBC/WSJ,2011-01-13,2011-01-17,2011-01-20 2000-01-01 09:55:08 UTC,1000,Adults,Live Phone,19,10,3,8,,,,8,51,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-10853,http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/___Politics_Today_Stories_Teases/11023%20Jan%20NBC-WSJ%20Filled%20in%20beta.pdf
PPP (D),2011-01-14,2011-01-16,2011-01-21 2000-01-01 12:47:35 UTC,515,Likely Voters - Republican,Automated Phone,14,11,,7,,,,16,51,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10865,http://www.publicpolicypolling.com/pdf/PPP_Release_National_0121.pdf
ABC/Post,2011-01-13,2011-01-16,2011-01-18 2000-01-01 09:54:35 UTC,1053,Adults,Live Phone,17,9,,,,1,3,12,45,http://elections.huffingtonpost.com/pollster/polls/abc-post-10831,http://www.washingtonpost.com/wp-srv/politics/polls/postpoll_01172011.html
Zogby (Internet),2010-12-30,2011-01-03,2011-01-04 2000-01-01 16:07:27 UTC,746,Likely Voters - Republican,Internet,17,,,,,,,18,66,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-10788,http://www.zogby.com/news/ReadNews.cfm?ID=1937
Clarus,2010-12-10,2010-12-16,2010-12-22 2000-01-01 10:16:03 UTC,365,Registered Voters - Republican,Live Phone,19,10,,4,,,,5,62,http://elections.huffingtonpost.com/pollster/polls/clarus-10758,http://www.clarusrg.com/sites/default/files/2012%20Presidental%20Race_0.pdf
PPP (D),2010-11-19,2010-11-21,2010-12-01 2000-01-01 11:38:07 UTC,400,Likely Voters - Republican,Automated Phone,18,19,,5,,,,12,47,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10672,http://www.publicpolicypolling.com/pdf/PPP_Release_National_1130.pdf
Quinnipiac,2010-11-08,2010-11-15,2010-11-22 2000-01-01 12:44:56 UTC,,Registered Voters - Republican,Live Phone,18,15,,,,,,17,50,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-10653,http://www.quinnipiac.edu/x1295.xml?ReleaseID=1538
Gallup,2010-11-13,2010-11-14,2010-11-16 2000-01-01 16:12:44 UTC,925,Adults - Republican,Live Phone,19,13,1,6,,,,14,49,http://elections.huffingtonpost.com/pollster/polls/gallup-10635,http://www.gallup.com/poll/144668/No-Early-Front-Runner-2012-GOP-Presidential-Nomination.aspx
CNN,2010-10-27,2010-10-30,2010-10-31 2000-01-01 11:11:51 UTC,500,Adults - Republican,Live Phone,20,12,2,7,,,,10,51,http://elections.huffingtonpost.com/pollster/polls/cnn-10424,http://politicalticker.blogs.cnn.com/2010/11/04/cnn-poll-obama-vs-palin-in-2012/
Gallup,2010-09-25,2010-09-26,2010-11-05 2000-01-01 14:54:22 UTC,906,Registered Voters - Republican,Live Phone,19,9,2,7,,,,11,45,http://elections.huffingtonpost.com/pollster/polls/gallup-10548,http://www.gallup.com/poll/143309/Romney-Palin-Front-GOP-Presidential-Field.aspx
Marist/McClatchy,2010-09-14,2010-09-16,2010-11-05 2000-01-01 14:43:53 UTC,369,Registered Voters - Republican,Live Phone,25,16,,,,,,13,46,http://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-10547,http://media.mcclatchydc.com/static/pdf/Marist-politics-final.pdf
PPP (D),2010-09-10,2010-09-13,2010-09-17 2000-01-01 15:16:02 UTC,419,Registered Voters,Automated Phone,22,18,,6,,,,10,44,http://elections.huffingtonpost.com/pollster/polls/ppp-d-9153,http://www.publicpolicypolling.com/pdf/PPP_Release_National_917.pdf
CNN,2010-08-06,2010-08-10,2010-11-05 2000-01-01 14:30:36 UTC,494,Registered Voters - Republican,Live Phone,21,15,2,10,,,,4,47,http://elections.huffingtonpost.com/pollster/polls/cnn-10546,http://i2.cdn.turner.com/cnn/2010/images/08/13/rel11d.pdf
Clarus,2010-07-26,2010-07-27,2010-11-05 2000-01-01 12:33:25 UTC,415,Registered Voters - Republican,Live Phone,26,14,,,,,,15,42,http://elections.huffingtonpost.com/pollster/polls/clarus-10534,http://www.clarusrg.com/sites/default/files/August%2012.pdf
PPP (D),2010-07-09,2010-07-12,2010-11-04 2000-01-01 17:15:47 UTC,400,Registered Voters - Republican,Automated Phone,19,23,,7,,,,10,42,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10532,http://www.publicpolicypolling.com/pdf/PPP_Release_National_716.pdf
PPP (D),2010-06-04,2010-06-07,2010-11-04 2000-01-01 15:46:32 UTC,401,Likely Voters - Republican,Automated Phone,25,15,,6,,,,6,46,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10531,http://www.publicpolicypolling.com/pdf/PPP_Release_National_614.pdf
PPP (D),2010-05-07,2010-05-09,2010-11-04 2000-01-01 15:40:26 UTC,539,Likely Voters - Republican,Automated Phone,23,21,,8,,,,3,45,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10530,http://www.publicpolicypolling.com/pdf/PPP_Release_National_513.pdf
CNN,2010-04-09,2010-04-11,2010-04-13 2000-01-01 13:27:48 UTC,498,Adults - Republican,Live Phone,20,14,3,8,,,,6,49,http://elections.huffingtonpost.com/pollster/polls/cnn-7587,http://i2.cdn.turner.com/cnn/2010/images/04/13/rel7d.pdf
PPP (D),2010-04-09,2010-04-11,2010-11-04 2000-01-01 15:33:21 UTC,400,Registered Voters - Republican,Automated Phone,33,,,,,,,17,50,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10529,http://www.publicpolicypolling.com/pdf/PPP_Release_National_419.pdf
CNN,2010-03-19,2010-03-21,2010-11-04 2000-01-01 15:17:20 UTC,531,Adults - Republican,Live Phone,22,8,5,8,,,,5,53,http://elections.huffingtonpost.com/pollster/polls/cnn-10528,http://i2.cdn.turner.com/cnn/2010/images/03/25/rel5i.pdf
Clarus,2010-03-17,2010-03-20,2010-11-04 2000-01-01 15:10:05 UTC,415,Registered Voters - Republican,Live Phone,29,13,,,,,,10,49,http://elections.huffingtonpost.com/pollster/polls/clarus-10527,http://www.clarusrg.com/sites/default/files/Clarus_March%2025.pdf
PPP (D),2010-03-12,2010-03-14,2010-11-04 2000-01-01 15:01:26 UTC,614,Registered Voters - Republican,Automated Phone,28,,,11,,,,9,53,http://elections.huffingtonpost.com/pollster/polls/ppp-d-10526,http://www.publicpolicypolling.com/pdf/PPP_Release_National_319.pdf
Gallup,2010-02-01,2010-02-03,2010-11-04 2000-01-01 14:49:30 UTC,490,Adults - Republican,Live Phone,14,3,,2,,,,42,26,http://elections.huffingtonpost.com/pollster/polls/gallup-10525,http://www.gallup.com/poll/125777/Voters-Divided-Obama-Republican-Candidate-2012.aspx
Washington Post,2009-11-19,2009-11-23,2010-11-04 2000-01-01 14:30:33 UTC,804,Adults - Republican,Live Phone,7,2,,1,,,,28,61,http://elections.huffingtonpost.com/pollster/polls/washington-post-10524,http://www.washingtonpost.com/wp-srv/politics/polls/postpoll_113009.html
CNN,2009-10-16,2009-10-18,2009-10-28 2000-01-01 07:59:50 UTC,462,Adults - Republican,Live Phone,21,,,,,,,,72,http://elections.huffingtonpost.com/pollster/polls/cnn-6419,http://www.pollster.com/blogs/us_2012_pres_cnn_101618.php
Rasmussen,2009-10-15,2009-10-15,2010-11-04 2000-01-01 14:00:16 UTC,750,Likely Voters - Republican,Automated Phone,24,14,,,,,,7,57,http://elections.huffingtonpost.com/pollster/polls/rasmussen-10523,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/toplines/toplines_2012_gop_primary_october_15_2009
Clarus,2009-08-14,2009-08-18,2009-08-28 2000-01-01 06:27:19 UTC,353,Registered Voters - Republican,Live Phone,30,15,,,,,,10,46,http://elections.huffingtonpost.com/pollster/polls/clarus-5917,http://www.clarusrg.com/press_releases/2009/Obam-Aug09-Clarus-poll-aug24 ppt.pdf
Marist College,2009-08-03,2009-08-06,2010-10-25 2000-01-01 17:30:10 UTC,310,Registered Voters - Republican,Live Phone,21,10,,,,,,24,45,http://elections.huffingtonpost.com/pollster/polls/marist-college-10208,http://maristpoll.marist.edu/wp-content/misc/usapolls/us090803/Palin/Complete%20August%2018th%202009%20USA%20Poll%20Release%20and%20Tables.pdf
FOX,2009-07-21,2009-07-22,2009-07-23 2000-01-01 18:04:26 UTC,303,Registered Voters - Republican,Live Phone,22,9,,,,,,12,57,http://elections.huffingtonpost.com/pollster/polls/fox-5703,http://www.foxnews.com/projects/pdf/072309_poll.pdf
ABC/Post,2009-07-15,2009-07-18,2009-07-24 2000-01-01 05:31:42 UTC,,Adults - Republican,Live Phone,21,10,,,,,,6,63,http://elections.huffingtonpost.com/pollster/polls/abc-post-5704,http://www.pollster.com/blogs/us_national_survey_abcpost_715_1.php?nr=1
USA Today/Gallup,2009-07-10,2009-07-12,2009-07-16 2000-01-01 06:42:01 UTC,455,Adults - Republican,Live Phone,26,14,,,,,,,45,http://elections.huffingtonpost.com/pollster/polls/usa-today-gallup-5616,http://www.gallup.com/poll/121715/Romney-Edges-Palin-Huckabee-Early-2012-GOP-Test.aspx
Rasmussen,2009-07-06,2009-07-06,2010-10-25 2000-01-01 15:49:37 UTC,750,Likely Voters,Automated Phone,25,14,,,,,,,54,http://elections.huffingtonpost.com/pollster/polls/rasmussen-10204,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/palin_at_the_top_and_bottom_for_gop_voters_in_2012
CNN,2009-05-14,2009-05-17,2010-10-25 2000-01-01 15:32:15 UTC,448,Adults - Republican,Live Phone,21,13,,,,,,4,59,http://elections.huffingtonpost.com/pollster/polls/cnn-10203,http://politicalticker.blogs.cnn.com/2009/06/02/cnn-poll-no-frontrunner-in-gop-2012-presidential-race/?fbid=v_9SHbhG7vl
FOX,2009-05-12,2009-05-13,2009-05-14 2000-01-01 15:49:39 UTC,274,Registered Voters - Republican,Live Phone,18,14,,,,,,11,58,http://elections.huffingtonpost.com/pollster/polls/fox-5241,"http://www.foxnews.com/story/0,2933,520209,00.html"
FOX,2009-05-12,2009-05-13,2009-05-14 2000-01-01 15:49:39 UTC,900,Registered Voters,Live Phone,14,7,,,,,,20,58,http://elections.huffingtonpost.com/pollster/polls/fox-5241,"http://www.foxnews.com/story/0,2933,520209,00.html"
FOX,2009-05-12,2009-05-13,2009-05-14 2000-01-01 15:49:39 UTC,213,Registered Voters - independent,Live Phone,12,5,,,,,,23,60,http://elections.huffingtonpost.com/pollster/polls/fox-5241,"http://www.foxnews.com/story/0,2933,520209,00.html"
CNN,2009-02-18,2009-02-19,2010-10-25 2000-01-01 14:33:43 UTC,429,Adults - Republican,Live Phone,21,,,,,,,,74,http://elections.huffingtonpost.com/pollster/polls/cnn-10198,http://www.cnn.com/2009/POLITICS/02/27/gop.poll/index.html?iref=allsearch
Rasmussen,2008-11-05,2008-11-05,2010-10-21 2000-01-01 16:59:26 UTC,1000,Likely Voters - Republican,Automated Phone,11,,,,,,,6,83,http://elections.huffingtonpost.com/pollster/polls/rasmussen-10102,http://www.rasmussenreports.com/public_content/politics/questions/pt_survey_questions/november_2008/toplines_gop_november_5_2008
